route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B0009,FULLW, TB00090107,,0,,SB00090
B0009,FULLW, TB000911,,0,,SB00091
B0009,FULLW, TB000912,,0,,SB00091
B0009,FULLW, TB000913,,0,,SB00091
B0009,FULLW, TB000914,,0,,SB00091
B0009,FULLW, TB000915,,0,,SB00091
B0009,FULLW, TB000916,,0,,SB00091
B0009,FULLW, TB000917,,0,,SB00091
B0009,FULLW, TB000918,,0,,SB00091
B0009,FULLW, TB000919,,0,,SB00091
B0009,FULLW, TB0009110,,0,,SB00091
B0009,FULLW, TB0009111,,0,,SB00091
B0009,FULLW, TB0009112,,0,,SB00091
B0009,FULLW, TB0009113,,0,,SB00091
B0009,FULLW, TB0009114,,0,,SB00091
B0009,FULLW, TB0009115,,0,,SB00091
B0009,FULLW, TB0009116,,0,,SB00091
B0009,FULLW, TB0009117,,0,,SB00091
B0009,FULLW, TB0009118,,0,,SB00091
B0009,FULLW, TB0009119,,0,,SB00091
B0009,FULLW, TB0009120,,0,,SB00091
B0009,FULLW, TB0009121,,0,,SB00091
B0009,FULLW, TB0009122,,0,,SB00091
B0009,FULLW, TB0009123,,0,,SB00091
B0009,FULLW, TB0009124,,0,,SB00091
B0009,FULLW, TB0009125,,0,,SB00091
B0009,FULLW, TB0009126,,0,,SB00091
B0009,FULLW, TB0009127,,0,,SB00091
B0009,FULLW, TB0009128,,0,,SB00091
B0009,FULLW, TB0009129,,0,,SB00091
B0009,FULLW, TB0009130,,0,,SB00091
B0009,FULLW, TB0009131,,0,,SB00091
B0009,FULLW, TB0009132,,0,,SB00091
B0009,FULLW, TB0009133,,0,,SB00091
B0009,FULLW, TB0009134,,0,,SB00091
B0009,FULLW, TB0009135,,0,,SB00091
B0009,FULLW, TB0009136,,0,,SB00091
B0009,FULLW, TB0009137,,0,,SB00091
B0009,FULLW, TB0009138,,0,,SB00091
B0009,FULLW, TB0009139,,0,,SB00091
B0009,FULLW, TB0009140,,0,,SB00091
B0009,FULLW, TB0009141,,0,,SB00091
B0009,FULLW, TB0009142,,0,,SB00091
B0009,FULLW, TB0009143,,0,,SB00091
B0009,FULLW, TB0009144,,0,,SB00091
B0009,FULLW, TB0009145,,0,,SB00091
B0009,FULLW, TB0009146,,0,,SB00091
B0009,FULLW, TB0009147,,0,,SB00091
B0009,FULLW, TB0009148,,0,,SB00091
B0009,FULLW, TB0009149,,0,,SB00091
B0009,FULLW, TB0009150,,0,,SB00091
B0009,FULLW, TB0009151,,0,,SB00091
B0009,FULLW, TB0009152,,0,,SB00091
B0009,FULLW, TB0009153,,0,,SB00091
B0009,FULLW, TB0009154,,0,,SB00091
B0009,FULLW, TB0009155,,0,,SB00091
B0009,FULLW, TB0009156,,0,,SB00091
B0009,FULLW, TB0009157,,0,,SB00091
B0009,FULLW, TB0009158,,0,,SB00091
B0009,FULLW, TB0009159,,0,,SB00091
B0009,FULLW, TB0009160,,0,,SB00091
B0009,FULLW, TB0009161,,0,,SB00091
B0009,FULLW, TB0009162,,0,,SB00091
B0009,FULLW, TB0009163,,0,,SB00091
B0009,FULLW, TB0009164,,0,,SB00091
B0009,FULLW, TB0009165,,0,,SB00091
B0009,FULLW, TB0009166,,0,,SB00091
B0009,FULLW, TB0009167,,0,,SB00091
B0009,FULLW, TB0009168,,0,,SB00091
B0009,FULLW, TB0009169,,0,,SB00091
B0009,FULLW, TB0009170,,0,,SB00091
B0009,FULLW, TB0009171,,0,,SB00091
B0009,FULLW, TB0009172,,0,,SB00091
B0009,FULLW, TB0009173,,0,,SB00091
B0009,FULLW, TB0009174,,0,,SB00091
B0009,FULLW, TB0009175,,0,,SB00091
B0009,FULLW, TB0009176,,0,,SB00091
B0009,FULLW, TB0009177,,0,,SB00091
B0009,FULLW, TB0009178,,0,,SB00091
B0009,FULLW, TB0009179,,0,,SB00091
B0009,FULLW, TB0009180,,0,,SB00091
B0009,FULLW, TB0009181,,0,,SB00091
B0009,FULLW, TB0009182,,0,,SB00091
B0009,FULLW, TB0009183,,0,,SB00091
B0009,FULLW, TB0009184,,0,,SB00091
B0009,FULLW, TB0009185,,0,,SB00091
B0009,FULLW, TB0009186,,0,,SB00091
B0009,FULLW, TB0009187,,0,,SB00091
B0009,FULLW, TB0009188,,0,,SB00091
B0009,FULLW, TB0009189,,0,,SB00091
B0009,FULLW, TB0009190,,0,,SB00091
B0009,FULLW, TB0009191,,0,,SB00091
B0009,FULLW, TB0009192,,0,,SB00091
B0009,FULLW, TB0009193,,0,,SB00091
B0009,FULLW, TB0009194,,0,,SB00091
B0009,FULLW, TB0009195,,0,,SB00091
B0009,FULLW, TB0009196,,0,,SB00091
B0009,FULLW, TB0009197,,0,,SB00091
B0009,FULLW, TB0009198,,0,,SB00091
B0009,FULLW, TB0009199,,0,,SB00091
B0009,FULLW, TB00091100,,0,,SB00091
B0009,FULLW, TB00091101,,0,,SB00091
B0009,FULLW, TB00091102,,0,,SB00091
B0009,FULLW, TB00091103,,0,,SB00091
B0009,FULLW, TB00091104,,0,,SB00091
B0009,FULLW, TB00091105,,0,,SB00091
B0009,FULLW, TB00091106,,0,,SB00091
B0009,FULLW, TB00091107,,0,,SB00091
B0010,FULLW, TB001001,,0,,SB00100
B0010,FULLW, TB001002,,0,,SB00100
B0010,FULLW, TB001003,,0,,SB00100
B0010,FULLW, TB001004,,0,,SB00100
B0010,FULLW, TB001005,,0,,SB00100
B0010,FULLW, TB001006,,0,,SB00100
B0010,FULLW, TB001007,,0,,SB00100
B0010,FULLW, TB001008,,0,,SB00100
B0010,FULLW, TB001009,,0,,SB00100
B0010,FULLW, TB0010010,,0,,SB00100
B0010,FULLW, TB0010011,,0,,SB00100
B0010,FULLW, TB0010012,,0,,SB00100
B0010,FULLW, TB0010013,,0,,SB00100
B0010,FULLW, TB0010014,,0,,SB00100
B0010,FULLW, TB0010015,,0,,SB00100
