shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SB00010,13.68584011085727,100.5200638802989,46,
SB00010,13.68623330618983,100.5194526977534,47,
SB00010,13.68733913779238,100.5172423614797,48,
SB00010,13.68751705914184,100.5169410627679,49,
SB00010,13.68774229138459,100.5164887919159,50,
SB00010,13.68810435321102,100.5154222020093,51,
SB00010,13.68894978303165,100.5127843044299,52,
SB00010,13.68913342677795,100.5119520974958,53,
SB00010,13.6893509837073,100.5110278640689,54,
SB00010,13.68950294431182,100.5093535306835,55,
SB00010,13.68967218893446,100.5063521471034,56,
SB00010,13.68977675552161,100.5059381388018,57,
SB00010,13.68984820753894,100.5051627754113,58,
SB00010,13.68992079803226,100.5049332025622,59,
SB00010,13.69013484207517,100.5042216969593,60,
SB00010,13.69048776000189,100.5034704140582,61,
SB00010,13.6910227063634,100.5027300207099,62,
SB00010,13.69386372042185,100.5000037207065,63,
SB00010,13.69880503387235,100.4953764172567,64,
SB00010,13.69941078715585,100.4945219031931,65,
SB00010,13.70097469041576,100.4919114172339,66,
SB00010,13.70324141709739,100.4879559025546,67,
SB00010,13.70630924438913,100.4828229997251,68,
SB00010,13.70680141027317,100.4821419091581,69,
SB00010,13.70784400229238,100.4810188553332,70,
SB00010,13.70899107358769,100.4801269476992,71,
SB00010,13.71001851614371,100.4795731549482,72,
SB00010,13.7116029966854,100.4789867583959,73,
SB00010,13.71315392257831,100.4786309727856,74,
SB00010,13.71459771243369,100.4783508362537,75,
SB00010,13.71560442137938,100.478160760892,76,
SB00010,13.7161317132323,100.4792212677868,77,
SB00011,13.71607324601282,100.4792972534623,79,
SB00011,13.71573965432019,100.4785340841491,78,
SB00011,13.71559153149162,100.4785483451427,77,
SB00011,13.71549132613667,100.4786517565623,76,
SB00011,13.71552025553834,100.4789110780649,75,
SB00011,13.71520407879891,100.4785104644629,74,
SB00011,13.71479440318558,100.478472528354,73,
SB00011,13.71181373003979,100.4791004232566,72,
SB00011,13.71106673288867,100.4793286492568,71,
SB00011,13.71020918626909,100.4796457282116,70,
SB00011,13.70954081496578,100.4799605704202,69,
SB00011,13.70864692274404,100.4805516104047,68,
SB00011,13.70794643450226,100.4811571595688,67,
SB00011,13.70710992832623,100.4820000037564,66,
SB00011,13.7067274687584,100.4824484859183,65,
SB00011,13.70311710346155,100.4885672808303,64,
SB00011,13.70185388378371,100.4910764446545,63,
SB00011,13.70085664275838,100.4929111673301,62,
SB00011,13.7002051270046,100.4938371957228,61,
SB00011,13.69905091118549,100.4951797719533,60,
SB00011,13.69810873884439,100.496207686156,59,
SB00011,13.69600445622844,100.4983291520333,58,
SB00011,13.69403181199888,100.5001550506841,57,
SB00011,13.69130992884039,100.5027033205482,56,
SB00011,13.69057361419251,100.5037867740566,55,
SB00011,13.69031994357841,100.5043420012125,54,
SB00011,13.68992428616079,100.5060056632702,53,
SB00011,13.68985976930513,100.5080415495679,52,
SB00011,13.6896277923879,100.5107488796513,51,
SB00011,13.68915401085184,100.5127552114435,50,
SB00011,13.68827338433716,100.5155033362075,49,
SB00011,13.6880251703677,100.5162888009171,48,
SB00011,13.68771027120161,100.5169693167859,47,
SB00011,13.68645014816993,100.5195945358402,46,
SB00011,13.68544853238541,100.5211932563078,45,
SB00011,13.68374419865629,100.5237456651452,44,
SB00011,13.68243136236949,100.5254447881665,43,
SB00011,13.67910583513015,100.5291480448899,42,
SB00011,13.67667979602582,100.5316431255813,41,
SB00011,13.67618197661761,100.5322517956422,40,
SB00011,13.67548258388631,100.5332369083916,39,
SB00011,13.67476539034104,100.534303056954,38,
SB00011,13.67406183635954,100.5358330008753,37,
SB00011,13.67347518643519,100.537237083826,36,
SB00011,13.67327309595673,100.5380079004261,35,
SB00011,13.67317526090605,100.5389493323887,34,
SB00011,13.67319816625837,100.5405185433138,33,
SB00011,13.67337925350785,100.5413509594133,32,
SB00011,13.67431651394444,100.5431910028678,31,
SB00011,13.67537685803231,100.544574953486,30,
SB00011,13.67672843433213,100.5456000132206,29,
SB00011,13.6790693048682,100.5469869400938,28,
SB00011,13.68053083888792,100.5474243900514,27,
SB00011,13.68286551968152,100.5477795102465,26,
SB00011,13.6835284608389,100.5478164930881,25,
SB00011,13.685890490957,100.5477059156146,24,
SB00011,13.68886409549143,100.5475148913442,23,
SB00011,13.68914293406207,100.5475604886116,22,
SB00011,13.6919152177986,100.547379176122,21,
SB00011,13.69234948197011,100.5472445844169,20,
SB00011,13.69380460953058,100.5471137053127,19,
SB00011,13.69465005120131,100.5469445282966,18,
SB00011,13.69494646843264,100.5468557015968,17,
SB00011,13.69521617779789,100.5467123977276,16,
SB00011,13.6953645102777,100.5465066152097,15,
SB00011,13.69626534073406,100.5452269155699,14,
SB00011,13.69703318510484,100.5443273417816,13,
SB00011,13.69825647016931,100.5431464763175,12,
SB00011,13.70032588757723,100.5415598971518,11,
SB00011,13.70333975300994,100.5395586586898,10,
SB00011,13.70467247885869,100.5387944495029,9,
SB00011,13.70774109956567,100.5371808521707,8,
SB00011,13.71095528731085,100.5355806848738,7,
SB00011,13.71237251557238,100.5348835777962,6,
SB00011,13.71424113469501,100.5339173770854,5,
SB00011,13.71677532430693,100.5326537707041,4,
SB00011,13.7172282147071,100.5324234590752,3,
SB00011,13.72003640540715,100.5310296688161,2,
SB00011,13.72139214029302,100.5303685724851,1,
SB00020,13.76355055623734,100.4940385081539,1,
SB00020,13.76044353383869,100.4900468751094,2,
