stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
BS000081,นานาเหนือ,,13.7482554249881,100.5540008841388,
BS000082,สะพานวิทยุ,,13.74828252540239,100.5481750186276,
BS000083,ชิดลม,,13.74866975561072,100.5445745825278,
BS000085,ประตูน้ำ,,13.74924435322857,100.5412599437293,
BS000084,ประตูน้ำ,,13.74938715262381,100.5412903683544,
BS000086,สะพานหัวช้าง,,13.74918050835947,100.5308922918096,
BS000087,สะพานเจริญผล,,13.74980906843673,100.5243016041895,
BS000088,ตลาดโบ้เบ้,,13.75344109592239,100.5158757797316,
BS000089,ผ่านฟ้าลีลาศ,,13.75555333145552,100.5063569912423,
BS000090,Airport link สุวรรณภูมิ,,13.69809305022649,100.7522662150027,
BS000091,Airport link ลาดกระบัง,,13.72773389228247,100.7486314419299,
