route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
B0100,A003,42, เสาชิงช้า(วนขวา) - เสาชิงช้า(วนขวา),,3,,FFFFFF,000000
B0101,A003,44ร, แฮปปี้แลนด์ - ท่าเตียน,,3,,FFFFFF,000000
B0102,A003,45, สำโรง - ท่าน้ำสี่พระยา,,3,,FFFFFF,000000
B0103,A003,45ส, อู่เมกาบางนา - ท่าน้ำสี่พระยา,,3,,FFFFFF,000000
B0104,A003,46ร, วิทยาเขตรามคำแหง - หัวลำโพง,,3,,FFFFFF,000000
B0105,A003,47, ท่าเรือคลองเตย - กรมที่ดิน,,3,,FFFFFF,000000
B0106,A003,48ร, วัดพระเชตุพนฯ - วิทยาเขตรามคำแหง,,3,,FFFFFF,000000
B0107,A003,49, หมอชิต 2 - หัวลำโพง,,3,,FFFFFF,000000
B0108,A003,5, สถานีขนส่งผู้โดยสารกรุงเทพฯ(จตุจักร) - จักรวรรดิ์,,3,,FFFFFF,000000
B0109,A003,50, พระราม 60 - จุฬา,,3,,FFFFFF,000000
B0110,A003,501, มีนบุรี - หัวลำโพง,,3,,FFFFFF,000000
B0111,A003,502, มึนบุรี - อนุสาวรีย์ชัยฯ,,3,,FFFFFF,000000
B0112,A003,503, หมู่บ้านรัตนโกสินทร์ 200 ปี  -  สนามหลวง,,3,,FFFFFF,000000
B0113,A003,505, สะพานพระราม4 - สวนลุมพินี,,3,,FFFFFF,000000
B0114,A003,508, ปากน้ำ - ท่าราชวรดิษฐ์,,3,,FFFFFF,000000
B0115,A003,509, อู่พุทธมณฑลสาย 2 - หมอซิต2,,3,,FFFFFF,000000
B0116,A003,510, ตลาดไท  - อนุสาวรีย์,,3,,FFFFFF,000000
B0117,A003,511, ปากน้ำ - สายใต้ใหม่,,3,,FFFFFF,000000
B0118,A003,511ส, ปากน้ำ - สายใต้ใหม่,,3,,FFFFFF,000000
B0119,A003,514, มีนบุรี - สีลม,,3,,FFFFFF,000000
B0120,A003,515, ศาลายา - อนุสาวรีย์ชัยสมรภูมิ,,3,,FFFFFF,000000
B0121,A003,517, ลาดกระบัง - หมอชิตใหม่,,3,,FFFFFF,000000
B0122,A003,519, สวนสยาม - สาธุประดิษฐ์,,3,,FFFFFF,000000
B0123,A003,51ร, ศูนย์ราชการกรุงเทพมหานคร - สนามหลวง,,3,,FFFFFF,000000
B0124,A003,520, ตลาดไท - ท่าแฮปปี้แลนค์,,3,,FFFFFF,000000
B0125,A003,522, รังสิต - อนุสาวรีย์ชัย,,3,,FFFFFF,000000
B0126,A003,523, เทคโลยีราชมงคลธัญบุรี - อนุสาวรีย์ชัยสมรภูมิ,,3,,FFFFFF,000000
B0127,A003,525, ม.เธียรทอง 3 - สวนสยาม,,3,,FFFFFF,000000
B0128,A003,526, หนองจอก - อู่มีนบุรี,,3,,FFFFFF,000000
B0129,A003,529ร, แสมดำ - สถานีขนส่งผู้โดยสารกรุงเทพฯ(จตุจักร),,3,,FFFFFF,000000
B0130,A003,53, วัดโสมมัสวรวิหาร - วัดโสมมัสวรวิหาร,,3,,FFFFFF,000000
B0131,A003,536, ปากน้ำ - หมอชิตใหม่,,3,,FFFFFF,000000
B0132,A003,538, มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี - โรงพยาบาลสงฆ์,,3,,FFFFFF,000000
B0133,A003,539ร, ศรีอยุธยา - พุทธมณฑลสาย 4,,3,,FFFFFF,000000
B0134,A003,54, ห้วยขวาง - ห้วยขวาง,,3,,FFFFFF,000000
B0135,A003,543, คลอง 7 (กรมการปกครองคลอง 9) -  อู่บางเขน,,3,,FFFFFF,000000
B0136,A003,543?,อู่บางเขน - อู่เขมา,,3,,FFFFFF,000000
B0137,A003,544ร, อู่บางขุนเทียน - ซอยที่ดินไทย,,3,,FFFFFF,000000
B0138,A003,545ร, นนทบุรี - สำโรง,,3,,FFFFFF,000000
B0139,A003,547ร, หมู่บ้านเอื้ออาทรศาลายา3 - สถานีขนส่งผู้โดยสารกรุงเทพฯ(จตุจักร),,3,,FFFFFF,000000
B0140,A003,553, อู่สายลวด - สนามบินสุวรรณภูมิ,,3,,FFFFFF,000000
B0141,A003,554, ท่าอากาศยานสุวรรณภูมิ - รังสิต(ทางด่วน),,3,,FFFFFF,000000
B0142,A003,555, หมู่บานรัตนโกสินทร์ 200 ปี  - สนามบินสุวรรณภูมิ,,3,,FFFFFF,000000
B0143,A003,556, สถานีรถไฟฟ้ามักกะสัน - วัดไร่ขิง,,3,,FFFFFF,000000
B0144,A003,558, ท่าอากาศยานสุวรรณภูมิ - ห้างเซ็นทรัลพระราม2,,3,,FFFFFF,000000
B0145,A003,58ร, มีนบุรี - ประตูน้ำ,,3,,FFFFFF,000000
B0146,A003,59, หมู่บ้านรัตนโกสินทร์ 200 ปี  -  สนามหลวง,,3,,FFFFFF,000000
B0147,A003,5ร, สถานีขนส่งผู้โดยสารกรุงเทพกรุงเทพมหานคร(จตุจักร) - จักรวรรดิ์,,3,,FFFFFF,000000
B0148,A003,60, สวนสยาม - ปากคลองตลาด,,3,,FFFFFF,000000
B0149,A003,65, ปากน้ำ - บางลำภู,,3,,FFFFFF,000000
B0150,A003,66, ศูนย์ราชการ - สายใต้ใหม่,,3,,FFFFFF,000000
B0151,A003,67, วัดเสมียนนารี - เซ็นทรัลพระราม3,,3,,FFFFFF,000000
B0152,A003,68, อู่แสมดำ -  บางลำภู,,3,,FFFFFF,000000
B0153,A003,7, คลองขวาง - หัวลำโพง,,3,,FFFFFF,000000
B0154,A003,70, ประชานิเวศน์3 - สนามหลวง,,3,,FFFFFF,000000
B0155,A003,71, สวนสยาม - วัดธาตุทอง,,3,,FFFFFF,000000
B0156,A003,72, ท่าเรือคลองเตย - เทเวศร์,,3,,FFFFFF,000000
B0157,A003,73, ห้วยขวาง - สะพานพุทธ,,3,,FFFFFF,000000
B0158,A003,73ก, อู่สวนสยาม - สะพานพุทธ,,3,,FFFFFF,000000
B0159,A003,74ร, แยกอ.ส.ม.ท. - คลองเตย,,3,,FFFFFF,000000
B0160,A003,75, วัดพุทธบูชา - หัวลำโพง,,3,,FFFFFF,000000
B0161,A003,76, แสมดำ  - ประตูน้ำ,,3,,FFFFFF,000000
B0162,A003,77, อู่ใต้ทางด่วนสาธุประดิษฐ์ - หมอชิต2,,3,,FFFFFF,000000
B0163,A003,79, อู่พุทธมณฑลสาย2 - ราชประสงค์,,3,,FFFFFF,000000
B0164,A003,7ก, พุทธมณฑลสาย 2 - พาหุรัด,,3,,FFFFFF,000000
B0165,A003,8, สะพานพระพุทธยอดฟ้า -ถนนนิมิตรใหม่,,3,,FFFFFF,000000
B0166,A003,80, วัดศรีนวลธรรมวิมล - สนามหลวง,,3,,FFFFFF,000000
B0167,A003,80ก, หมู่บ้าน ปอ11 - บางกอกใหญ่,,3,,FFFFFF,000000
B0168,A003,82, ท่าน้ำพระประแดง - บางลำภู,,3,,FFFFFF,000000
B0169,A003,84, วัดไร่ขิง - คลองสาน,,3,,FFFFFF,000000
B0170,A003,84ก, เอื้ออาทรศาลายา - คลองสาน,,3,,FFFFFF,000000
B0171,A003,85ร, วัดแจงร้อน- หัวลำโพง,,3,,FFFFFF,000000
