stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
BS000156,แยกแซ่ซิ้ม,,13.7044434610402,100.485451527599,
BS000155,โกบ๊อ,,13.7032061355441,100.484974977166,
BS000154,โรงเรียนแสงทองโทรทัศน์,,13.7016686782683,100.484493632263,
BS000153,ตลาดเก่าบุคคโล,,13.6999805945703,100.483913052464,
BS000152,ห้างบิ๊กซีดาวคะนอง,,13.6992340630944,100.483589196632,
BS000151,ชุมสายโทรศัพท์ดาวคะนอง,,13.6962264228661,100.482594588976,
BS000150,ซอยปลั่งอนุสรณ์,,13.6907388633621,100.481153563551,
BS000149,สุขสวัสดิ์ 8,,13.68905063,100.48228794,
BS000148,โรงเรียนสุวรรณวิทยา,,13.687735195295,100.484256605871,
BS000147,ตลาดบางประแก้ว,,13.6864339741774,100.486006865088,
BS000146,วัดโพธ์แก้วพระราม 2,,13.684526961587,100.486410194696,
BS000145,เขตจอมทอง,,13.683147619097,100.481277018436,
BS000144,ท่าสาย 101,,13.682359323621,100.478158628868,
BS000143,โรงพยาบาลบางปะกอก 9,,13.6814715422896,100.474579200237,
BS000142,วัดพุทธบูชา,,13.680746985552,100.47173401599,
BS000141,ซอยจันทร์พริ้ง,,13.6798315807553,100.468415467946,
BS000140,วัดสีสุก,,13.6787400383666,100.465804485735,
BS000139,ธนาคารอาคารสงเคราะห์,,13.6767430420304,100.462410568798,
BS000138,ธนาคารอาคารสงเคราะห์,,13.6762142094696,100.462759135683,
BS000137,การประปาวัดยายร่ม,,13.6782403824004,100.4662157813,
BS000136,ซอยจันทร์พริ้ง,,13.6791683293043,100.468488515814,
BS000135,วัดพุทธบูชา,,13.6801067434453,100.471888606581,
BS000134,ซอยพระรามที่ 2 ซอย 21,,13.68056215459898,100.4740075882844,
BS000133,ตลาดโพธิ์ทอง,,13.6816305573577,100.478263333814,
BS000132,เขตจอมทอง,,13.6826270458473,100.481814579234,
BS000131,เกียร์เซอร์วิส,,13.68345719314159,100.4849703973528,
BS000130,วัดโพธิ์ทอง,,13.6839985147635,100.486739189349,
BS000129,ตลาดบางประแก้ว,,13.68664312591609,100.4862606326761,
BS000128,ตลาดวัดนาค,,13.6878665604743,100.48449286461,
BS000127,โรงเรียนอนุบาลรังสิมา,,13.68916995,100.48258658,
BS000126,ซอยปลั่งอนุสรณ์,,13.6907724603194,100.481433804621,
BS000125,ตลาดดาวคะนอง,,13.6960113972456,100.482801421851,
